Tamanho real da imagem (KB),Tamanho máximo da trasferência de dados (KB),Quantidade de pacotes enviados,Tempo total de recebimento (s),Throughput Bytes,Média de tempo por pacote
2623,2520,30,1.3336143493652344,1966.835465776504,0.04445381164550781
2623,2520,30,1.2394564151763916,2116.250291565687,0.04131521383921306
2623,2520,30,1.2421300411224365,2111.6951632775554,0.04140433470408122
2623,2520,30,1.2137162685394287,2161.131120996249,0.04045720895131429
2623,2520,30,1.2755379676818848,2056.3872393127917,0.042517932256062825
19297,17388,207,8.939297676086426,2158.670703138294,0.04318501292795375
19297,17388,207,9.240288972854614,2088.354601970695,0.04463907716354886
19297,17388,207,9.216184854507446,2093.816509177573,0.04452263214737897
19297,17388,207,8.857346534729004,2178.643448614987,0.04278911369434302
19297,17388,207,9.673986673355103,1994.7308851633422,0.04673423513698117
28198,28812,343,17.033266305923462,1655.466396964269,0.049659668530389105
28198,28812,343,15.616015195846558,1805.7103330368118,0.04552774109576256
28198,28812,343,17.995504140853882,1566.9469318163826,0.05246502664971977
28198,28812,343,15.930691242218018,1770.0424652806223,0.0464451639714811
28198,28812,343,15.384773969650269,1832.8511069208128,0.04485356842463635
51596,48384,576,25.892868518829346,1992.6722279719331,0.04495289673407873
51596,48384,576,26.116223335266113,1975.6302179544928,0.04534066551261478
51596,48384,576,25.892586708068848,1992.693915896833,0.044952407479286194
51596,48384,576,26.739745140075684,1929.562145402481,0.04642316864596473
51596,48384,576,25.992598295211792,1985.0266377372793,0.04512603870696492
56818,57456,684,30.57598352432251,1858.2558417066962,0.04470173029871712
56818,57456,684,30.37339210510254,1870.650462858738,0.044405544013307804
56818,57456,684,30.486503839492798,1863.7099320781047,0.044570912046042105
56818,57456,684,30.79155945777893,1845.2459375403917,0.04501689979207446
56818,57456,684,31.01636791229248,1831.8714867153014,0.04534556712323462
19297,17388,207,8.460628032684326,2280.7999507192126,0.04087259919171172
56818,57456,684,29.949620962142944,1897.1191679460433,0.04378599555868851
28198,28812,343,15.201176643371582,1854.9879829398362,0.044318299251812195
56818,57456,684,87.35110545158386,650.4554201834634,0.12770629451985946
19297,17388,207,12.795856952667236,1508.0662492071413,0.061815734070856214
19297,17388,207,6.8371171951293945,2822.3883618298573,0.03302955166729176
19297,17388,207,6.90902042388916,2793.015335904524,0.033376910260334104
